ResponseId,positive,neutral,negative,unknown,total
R_1dhusCbFw1vbZWP,6,2,1,0,9
R_URwvL4B3QpPR369,0,6,2,0,8
R_2SepWD8qXA0WUsj,4,5,2,0,11
R_2chXdenQlNn08an,5,2,0,0,7
R_Xog7IjW2zgtrkPf,6,4,0,0,10
R_2e4Fvxp5DapzGCg,2,3,3,0,8
R_1IyZF3MoSkg26Un,5,1,0,0,6
R_1gUX7om2HvQjouw,4,2,3,0,9
R_3KZsf5gwmqvmrlw,5,3,2,0,10
R_3G8O5zWMTOADyq8,4,2,0,0,6
R_1eEtMgAyAi4ICLc,5,4,0,0,9
R_DxlrqUIN39MWprP,5,2,0,0,7
R_1pspZVXJ5kwJZGP,3,7,0,0,10
R_USZaGM73kiBUamB,6,2,0,0,8
R_1mOTox8Y9HDSqtc,7,3,0,0,10
R_3NBRByRCVjiDJBZ,8,1,0,0,9
R_b33Lv2XQsY0EdFf,4,3,2,0,9
R_2QtCUSefD5EGtyC,4,5,0,0,9
R_27NlwR3j3m8Vkdq,9,2,0,0,11
R_31Kvzvaz5q1dLUO,1,1,3,0,5
R_1kNYI86YkIKV0lG,4,2,0,0,6
R_0IICzqUKUiviYdX,8,2,0,0,10
R_bBGPypm9IbT5CH7,7,4,0,0,11
R_vUFP8aRHxzSl39v,0,3,4,0,7
R_20MPGtGXcxaNduO,6,2,2,0,10
R_1jvbSis25hsbB5a,7,4,0,0,11
R_3dPTjksN2ByWF3R,1,6,1,0,8
R_2B5OU903eek4qhr,5,5,0,0,10
R_2SfaB8QZpx5VhwE,2,5,1,0,8
R_2471h4YDGb9unZb,7,2,0,0,9
R_27HTvkivHELB0cy,7,2,0,0,9
R_3k6BNqK9Wel2WVK,6,0,0,0,6
R_2s1nDUpgS1jbiRn,5,1,0,0,6
R_1QzsKm6FWDuFYGJ,10,0,0,0,10
R_2WvcXUFzWdQ5iXx,2,2,4,0,8
R_xhjZaemQ6XgpzmV,4,4,1,0,9
R_3Ph6BorxZI88VC6,4,6,0,0,10
R_10PnfZKe1rXf7wT,10,0,0,0,10
R_2xAa2QihZAZ2HSo,9,2,0,0,11
R_bJGYBxWTOJxkrWF,3,9,0,0,12
R_0AlfxuzhoLsfRfj,2,7,0,0,9
R_3gYERFM2jxhBCqh,6,5,0,0,11
R_20TBchdhDwpDiVO,4,5,1,0,10
R_2fD9EBZISoNxala,3,7,0,0,10
R_26fnDJtf5fGJD7v,1,7,1,0,9
R_2D5iYvNaXAwCYVP,4,3,1,0,8
R_1mI5gML75vnGd0f,1,8,0,0,9
R_1MR7sLr8U1YGj4a,8,4,0,0,12
R_1MSU3uZydA7FgBB,6,4,0,0,10
R_2q8iJSbPrTvTzty,3,3,3,0,9
R_1Hbg22MjAyS8Fcd,6,0,0,0,6
R_1gGbmU7KOP6Oj6f,6,2,0,0,8
R_1Oxhrt4gaaQdWpR,2,1,2,0,5
R_2qx9R9JF8ianuVw,5,2,0,0,7
R_0qAC2RHbZ9fuHtv,6,2,0,0,8
R_1JFRu8sUzMF4Mrs,8,2,0,0,10
R_1CalCI0bI16oUJP,3,9,0,0,12
R_1AhTuyP70tKU25P,4,5,0,0,9
R_1OZWvpFO04mn9IC,7,2,0,1,10
R_2ffjzA9xPEcQVFG,5,2,0,0,7
R_2zYizFubawlxMEg,5,5,0,0,10
R_2EAivoxqTH0H4MV,2,7,0,0,9
R_24vHvMrFrA6xziq,5,1,0,0,6
R_2SjGm3vOq0T2fcL,5,2,3,0,10
R_2teRfOc9DzoS9ks,0,4,2,0,6
R_3q7g9FqRTLPyeb2,6,4,0,0,10
R_33pBTrdItMfPlyY,3,0,6,0,9
R_1N4IG73bobiZV6w,3,5,2,0,10
R_33yd5siT1euIav1,6,3,0,0,9
R_2iqHLbGhJ9aW3Rv,3,5,1,0,9
R_1DYZoy8lvuYPMTe,3,2,0,0,5
R_b3HgWYbJ8vRVx7j,8,2,0,0,10
R_2dxR8E07qw1uiek,4,4,2,0,10
R_r8ElUHaU1qSUpXz,2,2,3,0,7
R_2ARTnLLA1C9yg1V,2,7,0,0,9
